No.,Time Detected,Endpoint,IP Address,Type,Threat,Infected File,Time Created ,File MD5,Status,Time Fixed,Engine,Antivirus database version,Department
708,01/11/2024 12:53,2F-PC-102,172.22.68.108,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,MODALITY
709,01/11/2024 12:51,2F-PC-202,172.22.58.137,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,04/12/2024 16:27,Sangfor Cloud-Based Antivirus Engine,20241100000000.0,WPH
710,01/11/2024 12:51,2F-PC-226,172.22.58.5,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,DCO
711,01/11/2024 12:50,1F-PC-044,172.22.53.24,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Sangfor Cloud-Based Antivirus Engine,20241100000000.0,RHB
712,01/11/2024 12:49,1F-PC-139,172.22.53.196,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,ITS
713,01/11/2024 12:49,2F-PC-041,172.22.57.203,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Sangfor Cloud-Based Antivirus Engine,20241100000000.0,PCU
714,01/11/2024 12:48,2F-PC-040,172.22.57.189,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,PCU
715,01/11/2024 12:47,hpkkplazaapp,172.22.36.12,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,16/08/2024 17:18,65E7F6E26F792FA94E8AF5371FD6331A,Pending,01/11/2024 12:47,Sangfor Engine Zero,20241000000000.0,RIS-PACS
716,01/11/2024 12:46,GF-PCP-012,172.22.52.94,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,16/08/2024 15:06,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Sangfor Cloud-Based Antivirus Engine,20241100000000.0,SPC
717,01/11/2024 12:46,4F-PC-008,172.22.61.194,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,WPM & WPS
718,01/11/2024 12:46,4F-PC-007,172.22.61.144,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,05/08/2024 10:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Sangfor Cloud-Based Antivirus Engine,20241100000000.0,WPM & WPS
719,01/11/2024 12:45,2F-PC-205,172.22.58.194,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,29/11/2024 15:37,Gene Analysis Engine,20241100000000.0,WPH
720,01/11/2024 12:44,4F-PC-005,172.22.61.133,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,WPM & WPS
721,01/11/2024 12:43,HASIL,172.22.50.230,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,14/02/2024 7:34,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,ENG
722,01/11/2024 12:42,3F-PC-088,172.22.6.22,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,WIFI SSID : STAFF
723,01/11/2024 12:42,1F-PC-205,172.22.54.234,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:40,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,MSS
724,01/11/2024 12:40,3F-PC-108,172.22.64.136,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,10/02/2024 8:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,04/12/2024 16:27,Gene Analysis Engine,20241100000000.0,PAT
